"BehaviorSpace results (NetLogo 6.1.1)"
"voting_systeem.nlogo"
"experiment distance"
"08/07/2022 19:30:12:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","voter_count","lijsttrekker_count","[step]","afs_plr","afs_apr","afs_ivr"
"5","200","5","0","14.64704377350803","14.64704377350803","14.647043773508033"
"2","200","5","0","16.797766278594345","16.79776627859434","16.79776627859434"
"6","200","5","0","12.942898667683073","12.942898667683073","12.942898667683075"
"1","200","5","0","16.780058588664865","16.78005858866486","16.505302864319745"
"7","200","5","0","15.253183964591265","13.034836647266397","13.034836647266395"
"8","200","5","0","15.42061890862477","15.420618908624773","15.545313673026484"
"4","200","5","0","13.676473228371394","13.676473228371393","13.676473228371396"
"3","200","5","0","15.825416231458112","15.825416231458112","15.82541623145811"
"10","200","5","0","15.953308417671904","15.953308417671904","15.988182692086982"
"11","200","5","0","13.030491002831372","13.030491002831369","13.030491002831369"
"12","200","5","0","14.940354007004677","14.940354007004677","14.94035400700468"
"15","200","5","0","19.858023678925147","18.44830151178963","18.44830151178962"
"9","200","5","0","13.723428349379372","13.723428349379363","13.723428349379368"
"16","200","5","0","13.013404682064335","13.013404682064339","13.013404682064337"
"19","200","5","0","17.93804938023892","17.93804938023893","17.938049380238922"
"20","200","5","0","15.457646306617299","15.457646306617296","15.457646306617296"
"17","200","5","0","16.745607427867906","16.745607427867906","15.368574937206391"
"18","200","5","0","17.83608733749948","13.592511280342228","13.592511280342222"
"14","200","5","0","17.145898465444724","14.446823776734488","14.446823776734487"
"22","200","5","0","14.798070743232202","14.798070743232197","14.798070743232195"
"25","200","5","0","16.165661427516138","13.470551153986936","13.470551153986941"
"29","200","5","0","16.521943799077132","16.06615169803912","15.56287510887018"
"13","200","5","0","16.545786039863984","16.545786039863984","0"
"28","200","5","0","17.004881709642422","17.004881709642426","16.025150790420195"
"27","200","5","0","14.613235112578506","14.613235112578511","14.613235112578511"
"26","200","5","0","13.342893377511526","13.34289337751153","13.342893377511524"
"23","200","5","0","13.674143892744297","13.674143892744299","13.674143892744299"
"24","200","5","0","16.66178333269946","16.661783332699454","16.661783332699457"
"21","200","5","0","13.509021948870055","14.020077770308115","14.020077770308122"
"13","200","5","1","16.545786039863984","16.545786039863984","0"
"13","200","5","2","16.545786039863984","16.545786039863984","0"
"13","200","5","3","16.545786039863984","16.545786039863984","0"
"31","200","5","0","16.070833126561833","16.070833126561833","15.440886347778871"
"32","200","5","0","13.739188526980257","13.739188526980259","13.739188526980262"
"30","200","5","0","13.2205520146908","13.67054083800564","13.220552014690796"
"34","200","5","0","13.146831657307827","13.146831657307834","13.146831657307827"
"33","200","5","0","17.070684484947588","14.134144632908384","14.134144632908388"
"40","200","5","0","13.172523465555988","13.241065868518126","13.172523465555985"
"39","200","5","0","18.901720617680272","12.838675949708538","12.838675949708536"
"42","200","5","0","16.0183334931427","16.018333493142702","16.018333493142705"
"37","200","5","0","16.03010604424159","16.030106044241595","15.707369107717858"
"38","200","5","0","16.820782411212928","16.820782411212928","13.15405368047465"
"41","200","5","0","14.493145109882393","15.318635902339254","14.493145109882393"
"43","200","5","0","15.587172693746105","13.546784585206414","13.54678458520641"
"44","200","5","0","14.008424016634653","14.008424016634653","14.008424016634656"
"46","200","5","0","15.069707251426449","15.069707251426454","15.069707251426456"
"36","200","5","0","16.991800259005043","16.99180025900505","16.991800259005046"
"47","200","5","0","19.110657008264898","13.247831467976228","13.247831467976226"
"45","200","5","0","13.11255053568491","13.112550535684909","13.112550535684912"
"48","200","5","0","16.000537565481544","16.000537565481544","13.345285718171395"
"49","200","5","0","15.508484837215452","15.508484837215452","15.508484837215455"
"50","200","5","0","15.260507945734078","15.260507945734076","15.260507945734082"
"35","200","5","0","13.350701008134903","13.350701008134907","13.350701008134903"
"55","200","5","0","13.369441962652987","13.369441962652987","13.369441962652983"
"53","200","5","0","14.329312804365093","14.329312804365093","14.329312804365092"
"51","200","5","0","12.93717044533759","12.93717044533759","12.937170445337587"
"52","200","5","0","13.889904118109747","13.889904118109738","13.88990411810974"
"56","200","5","0","17.626434672905553","13.727235330921673","13.280409242855395"
"58","200","5","0","13.726743667552588","13.726743667552586","13.726743667552586"
"57","200","5","0","12.620226287893948","12.62022628789395","12.620226287893948"
"60","200","5","0","14.515411743922497","14.515411743922499","14.515411743922492"
"59","200","5","0","16.262779032195052","14.256383666061085","14.256383666061092"
"64","200","5","0","17.184660620043594","17.18466062004359","17.168659823248028"
"61","200","5","0","20.03287913096244","14.853832758091816","14.853832758091817"
"62","200","5","0","20.349043148783533","17.585063375142962","16.332639492390093"
"63","200","5","0","12.664565571611867","12.664565571611865","12.664565571611867"
"65","200","5","0","14.501424138284973","14.501424138284973","14.50142413828497"
"67","200","5","0","15.340056582476821","15.340056582476826","15.34005658247682"
"66","200","5","0","22.074011734532807","22.074011734532803","22.074011734532807"
"68","200","5","0","19.971733857230493","18.431953986408914","18.431953986408914"
"69","200","5","0","13.945435917617052","13.945435917617045","13.94543591761705"
"72","200","5","0","17.797627940954804","17.797627940954804","0"
"71","200","5","0","13.786153797679454","13.786153797679452","13.786153797679455"
"72","200","5","1","17.797627940954804","17.797627940954804","0"
"72","200","5","2","17.797627940954804","17.797627940954804","0"
"72","200","5","3","17.797627940954804","17.797627940954804","0"
"74","200","5","0","14.992189276621826","14.992189276621831","14.99218927662183"
"76","200","5","0","13.587195283663885","13.587195283663885","13.587195283663888"
"78","200","5","0","14.490809287519903","14.490809287519907","14.490809287519903"
"73","200","5","0","13.107109098542125","13.10710909854213","13.107109098542127"
"77","200","5","0","12.974737654267138","12.974737654267138","12.97473765426714"
"54","200","5","0","13.00527574142756","13.005275741427564","13.005275741427566"
"75","200","5","0","15.03398265023064","15.033982650230639","15.033982650230643"
"70","200","5","0","13.201585295330895","13.2015852953309","13.201585295330895"
"81","200","5","0","17.951368662275236","17.951368662275232","17.596356289042028"
"82","200","5","0","12.529478439155428","12.529478439155428","12.529478439155426"
"79","200","5","0","12.778915070294406","12.778915070294403","12.778915070294405"
"80","200","5","0","15.876783433817899","16.702409032180718","15.876783433817906"
"84","200","5","0","15.073156174891746","15.073156174891746","15.07315617489175"
"83","200","5","0","15.424152070276623","15.424152070276625","14.106055544539302"
"88","200","5","0","15.661360689586997","15.66136068958699","15.661360689586992"
"87","200","5","0","16.326941995095286","16.32694199509529","16.32694199509529"
"86","200","5","0","14.65777237329078","14.657772373290772","14.65777237329078"
"90","200","5","0","14.559206650406553","14.559206650406553","14.559206650406557"
"89","200","5","0","16.267184855954774","15.54056076450618","14.728723472979366"
"85","200","5","0","18.39919939800674","18.85688419201986","18.856884192019855"
"91","200","5","0","16.204958015713128","12.853288420625347","12.853288420625347"
"94","200","5","0","16.63935754987256","16.639357549872557","15.362332948239276"
"97","200","5","0","18.957023907052655","14.298233732920103","14.298233732920098"
"96","200","5","0","13.135561770207616","13.13556177020762","0"
"96","200","5","1","13.135561770207616","13.13556177020762","0"
"92","200","5","0","12.177336645103937","12.177336645103939","12.177336645103935"
"93","200","5","0","14.650901250447218","14.650901250447216","14.650901250447218"
"98","200","5","0","15.065946960060874","15.065946960060879","13.617742552234338"
"99","200","5","0","13.665710987328607","13.665710987328607","13.665710987328602"
"96","200","5","2","13.135561770207616","13.13556177020762","0"
"95","200","5","0","12.706251430340858","12.706251430340863","12.706251430340862"
"100","200","5","0","13.661261993666528","13.661261993666525","13.661261993666528"
"101","200","5","0","14.307466066564889","14.307466066564885","14.554908773925623"
"96","200","5","3","13.135561770207616","13.13556177020762","0"
"105","200","5","0","13.607528998124685","13.607528998124685","13.607528998124682"
"107","200","5","0","14.698541420686007","14.69854142068601","14.69854142068601"
"102","200","5","0","12.850295582254715","12.850295582254713","12.850295582254713"
"106","200","5","0","16.14805536074308","16.148055360743086","16.148055360743083"
"104","200","5","0","12.76128420287317","12.76128420287317","12.761284202873172"
"103","200","5","0","14.744876873718294","14.744876873718296","14.744876873718297"
"109","200","5","0","14.874434411993004","14.874434411993004","14.874434411993006"
"108","200","5","0","15.048292905521784","15.048292905521786","15.048292905521784"
"113","200","5","0","15.146073659418956","13.608179673966735","13.608179673966733"
"112","200","5","0","12.8796678549881","12.8796678549881","12.8796678549881"
"111","200","5","0","13.312621428481721","13.31262142848172","13.312621428481718"
"116","200","5","0","19.104457659924247","19.10445765992424","16.210286709467226"
"115","200","5","0","19.933742417298276","19.933742417298273","15.226416586453345"
"114","200","5","0","15.124602119827848","15.124602119827847","15.124602119827852"
"117","200","5","0","14.681206976407246","14.68120697640725","14.681206976407251"
"118","200","5","0","15.605798713021173","15.60579871302118","15.605798713021173"
"119","200","5","0","14.810959635069278","14.81095963506928","14.810959635069276"
"122","200","5","0","14.211132442772914","14.211132442772909","12.799440507292287"
"121","200","5","0","15.922926081119648","14.162626314478743","14.162626314478747"
"120","200","5","0","14.001508349849013","14.001508349849015","13.777601792333712"
"124","200","5","0","14.507182154085523","14.50718215408552","14.81127296581965"
"123","200","5","0","17.170324328557243","17.170324328557246","15.557853795272424"
